author,playlist_id,video_id,text,topic_id
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,ZLKh8w3SGr0,the summary of this entire drive is this car is way better than it has any right to be i love new cars there's something about thinking about the engineers and designers sitting in a room together with a clean sheet of paper and building something from nothing and then there's new car companies companies tesla rivian and lucid with their own vision of what the future of the automobile should look and then there's this new cars from new car companies from new countries that never made cars before we're in vietnam with vinfast to look at this so this then is a look at the future of a car made from a country that didn't really make cars before and today wanna see if this is any good this is the vf8 and this is fully charged fully charged live is coming to california this september 10th and 11th powered by electrify america get your tickets to the number one ev and home energy show now [music] vinfast intends to bring its electric car models to the u.s market this year and has plans in place to have the factory in north carolina up and running by 2024 where it will build cars and batteries and before you rule them out as just another new car brand that will never make it to mass market production you should know that vinfast is bankrolled by vietnam's largest conglomerate the vin group a colossal company with fingers in just about every pie you can imagine there are vin homes vin schools vin universities and an all-electric vin buses vinsmart manufactures mobile phones vin ai are specialist in machine learning there are even vin wonder amusement parks it's a big company and one renowned for making its goals happen fast so the vin fast vf8 we're here in beautiful vietnam to check this thing out so why is this car important well this is vietnam's first foray into electric vehicles and they've come out swinging with two models that i think are just perfect for the american market crossover suvs this the vf8 and i think the better looking bigger brother the vf9 but we'll talk about the vf8 here today so in terms of styling they actually went with pen and farina the guys that made a lot of the ferraris you know and love and one of my favorite cars growing up the acura honda nsx so styling is is quite nice i think in terms of the look it looked a lot a lot of the other crossovers i see in this space it's got good front fascia this is the kind of standard vin fast grill and design language it carries through pretty much throughout the entire car so out here we have aero wheels which is good right because fun fact the biggest deterrent to range in an ev is actually the wheels so they've got that covered come along here pretty well sculpted little design around the bottom quarter panel and along the back it kind of looks a porsche maycon or something that good good styling all the way around and i think the back is particularly striking personally because they've got again the vin fast design language the segmented tail light design a little spoiler on the back and all around just a generally good package look it's a crossover suv you've seen them before this is not really all that new generally i think it's well designed and i mentioned before the real looker in the family is the vf9 which i think looks fantastic but the vf8 the little brother also i think is a as a solid good family eevee choice in terms of styling [music] so this is the interior of the vf8 and again just a really overall good package the vin fast v design language kind of runs out here in the front as well good soft touch up in here it's a little bit hard touch there and here but i'd say it's kind of a middle of the pack mid luxury section car maybe a higher pointed raft for maybe a lowly appointed acura rdx something that in that range but all this is really nice soft touch good space for things and a really nice size landscape infotainment screen one of the more striking design choices is this gear shifter which kind of looks a lamborghini in terms of the layout but that's kind of cool cup holders right there your music controls are kind of mazda style right here at your fingertips which i the steering wheel is on the thinner side if i'm honest but it does get meteor right where you're supposed to grab it and uh the touch buttons are all really nicely laid out as well no capacitive touch here which i personally don't care for you've got stocks and everything else let's jump in the back seat and see how that fares so i'm right about six feet tall and i have the front seat positioned pretty much where i would be i might be a couple inches further back but you can see the legroom in the back is cavernous and headroom is quite similar as well at six feet i think you'll have no problems now if you're just a giant jack at six five or six six well maybe it might be closer but honestly i think for most people more than enough room back here good layout of charging ports for usb charging you've got vents back here speakers in the door good deep pockets here on the door and you've also got cup holders and no storage but a little arm rest for the back overall i think well laid out the interesting choice is lack of a panoramic roof which i feel every ev has now and i don't know that i care too much but if that matters to you you're going to notice that uh yeah that's kind of absent in this car love to wait and see if maybe other models for north american markets introduce that we mentioned before this is a vietnamese version so things might change a little bit by the time you get them where you live [music] [applause] [music] [music] so let's talk about expectations what this car is and what this car isn't this is not a performance suv this is not a porsche macon equivalent right this is a family cruiser and as a family cruiser it's really competent i would say this car is better than it has any right to be this is then fast first ev and we've all been making cars for a couple of years in general gas cars before this and all that being said they kind of nailed it it's a it's exactly what you'd expect it to be comfortable body roll is is pretty good again it's a bigger suv but because that battery pack is on the floor it doesn't feel your typical suv the closest comparison i would draw to is probably a volkswagen id4 the seats are really comfortable which adds to the general feel in here as well this is one of those cars i think you definitely need to go out and check for yourself because i think it just does a good job of being versatile and all around competent and the suspension is really plush and comfortable the roads here in vietnam especially on this test course were fantastic and smooth which we can't say the same for in southern california where we live but i think this would be one of those cars that would be a great road tripping car there's two variants that will be shipped into the u.s both will have dual motors the eco model will have 248 horsepower and the plus model will have 402 so more than capable cars and if you need that all-wheel drive all the cars for the us i believe are going to be dual motor and maybe in the future benfast can offer a performance boost option or something and dial in performance even further kind what tesla does with their non-performance models because i would probably pay a couple grand for that this car has more than enough power i think they've they've aired on the side of being smooth right if you map the throttle very aggressively every time you lift and pick up your your right foot the car will be very jerky and so they've gone for a much more refined kind of a ride but i the performance i would personally probably dial it up as high as i could because i just that instantaneous feel right it's electric motors and we we have that we have that option one of the other really cool things about this car it's kind of unexpected and kind of above and beyond what they needed to do i think to deliver on their first car is really intuitive home automation control so i'm not sure which protocols and what standards and what products they'll talk to but they plan on allowing you to be able to control your thermostat at home and do cool things where you could set the temperature before you arrive turn off lights open your garage check the garage status things that that's that's going to be a cool touch and it all happens here on the infotainment screen so we mentioned one of the really amazing things when new car companies and new countries do cars for the first time is they bring their own unique perspectives and takes and i've never seen any other ev company bring this much attention to home automation and connectivity and having your car be kind of the central hub for your connected world and that's i think the greatest thing about the vent fast story is you get new engineers and new product owners new people with new ideas which will kind of drive the entire industry forward otherwise you have the same five or six companies in the same three or four countries and uh after a while you're going to get stagnant right so that's really the coolest part about this [music] [applause] [music] [applause] [music] really quickly also one of the things i'm really impressed with is how zippy the ui and the screen of the infotainment system is in the future this car will come with android auto and apple carplay via software update over the air once they have their certifications which i think will be a great touch for people who are looking for that it's the kind of car that you would expect from an automaker who's been making cars for a long time and the kind of car that you're impressed when someone just kind of nails on their first take one of the coolest features i found is that heads up display which is i wish every car had it i don't know why they don't it just feels well thought out that's the best thing i can say about it it's just what you'd expect that's exactly what i love about this car [music] [applause] now there's not a lot of details about charging speeds but it does support level one two and three charge door is here and you've got your j1772 and your ccs fast charging ports as well [music] [applause] [applause] so this vent isn't just a new car it's not just a new car company it's a new car from new car company in a new country and their vision of what the future of mobility will look between new cars new concepts and a battery subscription model they think they might just have the answer for more and more car buyers to buy electric vehicles over gas cars are they right well time will tell don't forget to hit that button and and if you have been thank you so much for watching,2
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,7LMgmg0I0GA,electric cars depending on who you ask they're either the future or the devil a vital tool in our mission to net carbon neutrality or a can of worms that creates as many problems as they solve i've often joked that nothing makes otherwise disinterested people become environmentalists quicker than talking about solar panels or electric cars your ev is just a coal powered car that's a fun one or think about all the ecological devastation mining for battery materials causes hmm weird i always thought fossil fuels had to be drilled and fracked then refined using gobs of electricity then transported sometimes thousands of miles only to be burnt for an instant of value but that's not what we're talking about today no today we're talking about one of my favorites the question of whether our aging grid here in the us could even cope with a world full of electric vehicles is mass ev adoption even possible here in the united states with our existing infrastructure or will the increased demand for electricity caused by a growing popularity of electric cars our grid and leave us all living an amish lifestyle spoiler alert no i'm ricky and this is for the church looking for some sunshine and clean air well we're better than southern california this september we're bringing all of the electric vehicles under the sun and an array of clean technologies to america's finest city this fall yes that's right fully charged live usa powered by electrify america is coming to san diego so for fresh perspectives exhilarating test rides electrifying live talks and all of your favorite youtubers get your tickets today [music] now it's no secret the us grid does struggle from time to time i mean we get brown out warnings when it's a bit warm outside and the utilities know people will be running their air conditioners so there's no way we can charge all these evs right right to answer that let's look at the numerous challenges of operating an electrical grid a rather unenviable task if we compare electricity to other utilities piped into your home you'll quickly start to see the challenge and while we're even talking about this water and natural gas are plumbed into your homes and pressurized in the case of water usually around 50 to 80 psi if you don't need water right now no problem the pumps and water towers keep that pressure built up ready for when you need it you can source water whenever you want store it and just let consumers use it as needed but this isn't the case with electricity you can't just pipe in electricity and wait for when it might be needed that's because electricity needs to be created and consumed pretty much instantaneously create too much and you need to curtail it or basically waste it create too little and you can get voltage sags possibly damage sensitive equipment and eventually get brown outs or strategic power cuts made to certain regions to protect the larger grid if we look at electricity consumption in the united states since the 1950s you'll see a pretty dramatic trend our thirst for electricity is massive and climate from retail sales of electricity of about 0.3 trillion kilo dollars in 1950s to nearly 4 trillion kilo dollars or 3 900 terawatt hours by 2020 but here's the crazy part the percentage of the electricity used for transportation currently is a negligibly tiny sliver and this is at the heart of the argument that if we start adding tons of electricity usage to electric cars to an aging and already taxed grid surely it can't cope according to the federal highway administration americans drive roughly 3.2 trillion miles a year to convert every single one of those miles to electric and assuming an average ev efficiency of 3 miles per kilowatt hour a tesla model x that means we'd need about one trillion killed hours of electricity so yearly consumption would go from four trillion kilowatt hours to five a 25 percent increase put one way we could make all cars evs tomorrow for just 25 more electricity but put another way we need one trillion kilo hours of electricity but it might not even be that bad jack recently did an episode on aptera a truly new rethink of what a vehicle can be we'll put a link in the description but an aptera can travel about 10 miles per kilowatt hour and if we all drove around in evs that efficient the increased demand on the grid would be cut by two-thirds because of course the more efficient electric car the less additional electricity we need plus with solar panels it's possible you'd never need to charge an aptera at all i really want to see efficiency getting more attention in modern electric car design not just because it can reduce our electricity demand but because efficient evs are just better and cheaper to run another consideration that hardly ever gets brought up during these conversations is about grid demand and how much electricity oil refineries consume each year according to the u.s energy information administration in 2021 oil refineries alone used nearly 43 billion killed hours of electricity not to mention nearly 1 trillion cubic feet or 28.3 billion cubic meters of natural gas and all sorts of other fuels but who's counting some estimates even place the true electricity consumption of the whole life cycle of gasoline not just refineries at closer to 100 billion kilowatts per year that's nearly one-tenth of all the electricity we would need for a hundred percent evs so getting rid of those would be a great start but we'll still need to find a bit more energy so let's take a look at the u.s power usage over a 24 hour period you have probably heard this referred to as the duck curve see it kind of looks a cute little duck but in the age of solar power we have a bit of a problem when the sun shines you see what happens to energy demand it falls dramatically during the day then peaks at night when the sun goes down this is a huge problem for grid operators because they run baseline power plants to cover the average usage these could be natural gas nuclear or even coal the baseline is designed to be as close to the minimum energy demand as possible then during times of the day when the energy demand rises above that baseline grid operators turn on peaker power plants to provide the difference the problem is peaker plants are smaller more expensive and normally dirtier forms of energy such as natural gas for their ability to be turned on and off quickly in response to grid need this is why many regions have moved to time of use billing where consumers are charged more money in the evening when everyone is getting home and starting to use more electricity the beauty of evs is that you can charge them overnight when the demand for electricity is at its lowest in fact here in san diego we have a special ev price plan that drops energy prices to just 13 cents per kilowatt hour from midnight to 6 a.m the problem then isn't raw electricity demand its unpredictability and huge spikes in a bygone era before netflix or on-demand streaming when bricks famously rushed to their kitchens to turn on their electric kettles for a spot of evening tea after their favorite television programs at nearly the same time a major challenge for grid operators it's a massive change in demand for a small period of time and it's something grid operators have to forecast and handle in real time so if evs are all smart and can be programmed to charge at strategic times it's very possible the end result to the grid is a flat rising baseline and this might not be as bad as you think when internal combustion engines first came on the scene 100 years ago people had the same concerns that they'd never work because people would never have wide access to gasoline just stick with your horse trust me this motor car fad too will pass but in a free market challenges and issues aren't problems they're opportunities fun fact early gas stations were local pharmacies and drugstores if there is a general increase in electrical demand it will be financially advantageous to open new power plants better yet if we ramp up renewable energy production wind and solar we could use these very same evs as battery storage to even further levelize the grid remember your utility is a middleman they don't produce electricity they buy it from power plants and sell it to you they don't much care where they buy this electricity from and with new innovative ideas tesla's auto bidder that allows power wall owners to buy and sell electricity almost a stock market if you have a solar system and an ev you can make money even when your car is parked this is called a virtual power plant and in the future with a more decentralized grid the energy used in your home might be coming from gary down the road and not from a power plant the average gas car is totally useless sitting around on your driveway but an ev is essentially a mobile power plant on wheels and with companies embracing vehicle-to-grid technology ford with its f-150 lightning you could buy electricity during times of lower demand when it's cheap and sell it back to the grid when it's expensive in fact we saw an amazing example of how helpful evs can be by serving as big battery packs during the recent floods in kentucky according to a report by electric just two f-150 lightnings alone help provide mobile power for workers to assist with getting 10 to 15 families back in their homes each and every day and even if you don't have a driveway or home charging you could benefit from cleaner forms of energy as you charge at public chargers since that energy could in the future come from people with solar panels or evs using these virtual power plant programs talk about a win win future virtual power plant programs try saying that three times fast could allow users to specify how much energy they're willing to trade even with just 10 kilowatt hours out of a 75 kilowatt battery pack 100 million evs could provide one billion killed hours of energy storage every day that's the equivalent of 7 752 of tesla's mega pack installations the hornsdale power reserve in south australia a level of grid storage we've never seen before and that's just 10 kilowatt hours still leaving drivers with plenty of charge for their daily needs technologies vehicle to grid for smart electric school buses also offer huge potential that could reduce how much more we need from the grid we can take an asset that transports kids for two hours a day and then just sits there for the other 22 and instead make them massive energy storage solutions and how about this a tesla supercharger station covered in solar panels in kettleman city california featuring about 750 panels if each panel was 350 watts that's a little over 263 kilowatts of power that's enough to charge three evs at 87 kilowatts with zero grid stream in short is our grid here in the us a bit long in the tooth yes it is but the future is electric it's why utilities love evs they know it'll mean profits will shift from oil companies to electricity companies and any good business will invest in their infrastructure if it means reaching larger profits also it's important to note just how much in subsidies oil companies received over the last century to get to where they are today and future infrastructure and spending i believe will move away from oil and gas and towards a truly electric future for every person that says the grid can't cope there was a horse breeder that said gas cars wouldn't work it's the nature of change imagine trying to pitch an idea for a social media app to investors 30 years ago things change and we're gonna have to stop looking at the future through the lens of the past let's continue this conversation in the comment section below don't forget to that button and and if you have been thank you so much for watching,1
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,fpjcbTGaYgs,[music] hey what's up ricky with fully charged we have a very special episode for you today this is the canoe ldv now if you're thinking haven't we covered canoe before you're correct back in 2019 chelsea sexton actually did an episode on canoe but so much has changed in the past three years the pandemic you've probably heard of it and so much else the supply chains and everything else and for canoe particularly things have changed they've gone public they've changed their business models and some other challenges they've faced but i think they found some footing with some commercial customers so they now have contracts with the us army nasa and particularly with walmart who has a purchase order for 4 500 of these for their last mile delivery services so today we have just enough time here in dallas texas for a first impressions a quick drive and a ride-along and we're going to go through all that and more so this then is the canoe ldv and this is public fully charged live is coming to california this september the 10th and 11th powered by electrify america get your tickets to the number one ev and home energy show now [music] [music] me [music] why does the canoe matter you might be thinking a delivery vehicle well first of all there's also a personal version of this that has a seven seat option so for a car that's actually four inches shorter than toyota prius with all this interior room and an optional third row and this package is pretty rare also you've got to remember we at fully charged are all about reducing our carbon emissions and right now delivery is a big part of that equation now because 90 of americans live within 10 miles of a walmart location you can imagine the impact a car this could have for that business model sure amazon is the king right now with their warehouses but with over 4 000 stores and over 3 800 of them becoming online shipping centers this could be the car that catapults walmart and their current brick and mortar business into the online king of retail now the really magical part about this thing is the packaging okay now in comparison to this we have a bmw 4 series grand coupe we've lined them up in the front okay right in front which car do you think is longer come with me the canoe finishes right here the bmw is over a foot longer than the canoe and yet on the inside it has 120 cubic feet of cargo space thank you so much that's incredible [music] so let's talk about the interior of this thing because it is one of the most striking things i've ever seen starting with this greenhouse out in front of you i can see the road i can see a nickel two feet from the front of this car which is absolutely amazing there's no screen off in front of you you've got this screen right here and you've got your driving information on that screen to tell you how fast you're going what what gear you're in and all of that so as a result the view is unrivaled and for people who are doing delivery this has got to be leagues better than anything gasoline where all this area would just be engine and you wouldn't be able to see any of it through so as a result now the dashboard is very unconventional and kind of floating which is a bizarre design aesthetic that i just love here are your controls they're all kind of capacitive touch ac controls heated steering wheel i just checked that out that does work it's very impressive here on the steering wheel we have just two controls two rocker switches and these adjust the passenger and driver mirrors on a delivery truck that's what matters not music controls or anything else no it's the mirror positioning the brake pedals are pretty conventional right you've got your brake and your accelerator pedal but what's not conventional is the fact that there's nothing keeping you from just putting your feet up so this is probably one of the more roomy and comfortable trucks i've seen one of canoes real design points is comfort ergonomics and design for the delivery personnel so their seats are really quite well bolstered and comfortable the layout in the leg room for the passenger even is just massive and i think if i had to be in here doing deliveries for walmart for six or eight hours i think i'd be pretty comfortable [music] so here is a look at the back this would be the cargo area for the ldv now this particular configuration is just their default what they provide but walmart for example is going to have custom gear and equipment back here that is proprietary and we couldn't film but you can imagine the opportunities and how much space there is back here this is pretty cavernous now this isn't a massive area right i mean i could sit here and touch the edges almost but this is their smaller variant they do have an mpdv a multi-purpose delivery vehicle which is kind of a step up more the amazon rivian truck but for this size i you could not get more stuff in here in a smaller footprint and that's really what this is going to be good at this is going to be such an easy car to drive around town so if you're doing uber delivery or grocery or anything else finding a parking spot can be tough in those big vans but with this you can pretty much park anywhere a normal car would again four inches shorter than a toyota prius and it has a really really good turning radius so it's just gonna be easy to maneuver and just i think a delight for most people doing delivery [music] [music] this car we drove around making one delivery and we got attention wherever we went people came over to us and talked to us it just has that kind of iconic look [music] so now for the driving impressions i'm joined by gary who's going to chaperon me make sure i don't get into too much trouble you bet i'll take care of you i appreciate that if you're used to any kind of gas delivery ban there's a couple things about this that are going to be completely different first of all one pedal driving right you don't have to use your brakes at all you can speed up and slow down with just one pedal which is great the fly-by-wire steering the steering by wire system which means let me show you how easy this is to maneuver around town i want to make a u-turn i want to show you just how tight the turning radius is okay here we go turn the wheel that's it that's it not even one complete turn and i am making a u-turn and the tightest turn circle i've ever seen this is the rear-wheel drive single motor variant there will be eventually a dual motor all-wheel drive variant as well i'm curious to see how the turning circle is affected by the motors up front i'm sure i'm curious about that but this is probably the car that most would get i think the rear wheel drive for transit is probably the most popular spec for that vehicle so i'd imagine unless you live somewhere where there's a lot of snow and other conditions that's probably going to be the model that most people get so some other quick facts about this thing around an 80 kilowatt battery pack and they have 2170 cylindrical cells and it's good for about 200 to 250 miles of range now they say 200 plus and the reason is because it's a delivery van right you might load it up or not so depending on how you use it it'll probably affect how much range you get but that level of range is i think exactly what you need the ford transit ev does about 120 miles per charge which means could you make an entire day of walmart deliveries i'm not sure but with this i think you probably could just you come home at the end of the day and plug in and knowing that 90 of americans live 10 miles or closer to a walmart i can imagine this being a booming part of their business in the future so you've got your controls off to the left but the view from the driver's seat is cavernous and expansive it's really special the key takeaways low center of gravity good reliability and efficiency electric right combined with this view and also the fly-by-wire steering system and the incredible ratio on that lock to lock u-turn which is incredible you want to do u-turns all day don't you i do i'm gonna do one more yeah here's one more so we're not doing slaloms and you know acceleration tests but this is a delivery van which means the walmart employees are going to be using it as such and a fun fact i just heard from the walmart executive team is that the people doing the delivery are just their normal employees they don't have truck drivers or special personnel if you're an associate of walmart you might be on the part of the team that does the deliveries for their online services so in that case you probably don't have thousands of hours of big rig experience and you're going to really appreciate driving a car that feels a normal car i got to imagine that this is going to be their favorite car and i spent a little bit of time with dj during that delivery and his immediate feedback was this was his favorite of all the vehicles he's used for online delivery [music] what do we think about the canoe ldv all the reasons why you wanted to watch this episode when you saw the thumbnail they're all still here and pretty dang amazing the view from the front is nothing you've ever seen you have to witness it to see it and believe it but the challenges are still around and they do need to prove that they can reach scale and produce these vehicles now there is some good news on that front because they have partnered with a third-party manufacturing company to start producing the walmart 4500 order which is a great idea i've always said why not just outsource manufacturing especially early on other companies not just have to do all the r b to design a car and now you have to build a factory and learn how to manufacture it is a tall order for any one company so i think with their plan to outsource manufacturing get these out on the road take feedback from walmart make them better and finally get to customers they might be on the winning track so that is a really quick and rainy look at the canoe ldv admittedly very rushed but hopefully you guys got an idea of what this thing is all about don't forget to hit the button and and if you have been thank you so much for watching [music],0
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,oeh_bURqRPs,jack and robert are always going on about how big cars are getting we're ditching sedans and hatchbacks and building more crossovers and suvs and i get it i do and that's why good news this week we're talking about this charming little single seat ev that you might have heard of called the tesla semi yeah it's the biggest eevee ever made and it makes the hummer ev look a toy for kids and tesla seems to think it's a really vital strategy going forward but is it should tessa just stick to building cars does this even make any sense let's find out i'm ricky and this is the fully charged show the footy child show then you will love our six live shows being held around the world in 2023 starting with sydney australia on march the 11th and 12th [music] whether you call them semis or 18 wheelers big rigs or lorries there's no denying how important they are here in the united states here's some really fun facts by the way there are about four million semi trucks in the u.s they drive a total of around 400 billion miles every year and they burn about 44.8 billion gallons of largely diesel and gasoline every single year starting to see why this could be kind of important to electrify also there are about three and a half million truck drivers employed here in the u.s and semis move around 72 percent of the us's entire freight industry by way all in they produce around 875 billion dollars in gross freight revenue but tesla can't make model 3s and y's fast enough so does this move make sense should they focus their production effort on passenger cars or the semi well based on a tweet from elon musk he claims that the semi can do about 1.7 kilowatt hours per mile and with a state range of around 500 miles we're talking about 850 code hours in battery storage plus around 50 probably for reserve so we'll call it a 900 kilowatt hour battery pack now this is not confirmed this is just kind of a rough back of the napkin calculation now that's enough to make 11 model wise with 81 kilowatt hour battery packs so building 11 model wise would offset 148 000 246 gasoline miles per year meaning we can get 11 gas cars off the road while the average semi truck drives between 100 to 150 000 miles a year but let's assume a hundred thousand to be conservative now technically that would be less miles offset than by our 11 model wise but factoring in 7 miles per gallon for a diesel semi things change quite a bit the semi will replace 14 286 gallons of diesel fuel per year the 11 model y is replacing 24 mile per gallon crossovers would replace 6177 gallons of gasoline so if tesla with 900 killed hours of battery capacity built one semi instead of the 11 model wise they would prevent burning 8109 gallons more of gasoline and now the business case for the semi is starting to make sense and this is why elon mentioned semis were only about one percent of the vehicles on the road but about 20 percent of emissions and 36 percent of all particulate emissions so that's the environmental reason now let's talk about the actual experience for a driver any truck driver out there is going to love the tesla semi or any electric semi no more 10 to 18 speed gearboxes that you're clunking around constantly single speed no transmissions we think of diesel engines as these massive powerhouses but really they're actually not and they only have a operational rpm around 2500 rpm so they need a lot of gearing to be able to get going and lift and carry that 80 000 pounds of cargo in comparison the tesla semi will have a tri-motor setup similar to the tesla model s plaid they'll have carbon wrapped sleeve motors just the plaid two of these drive units are actually only intended for acceleration or when you really need extra power and they can mechanically disconnect once you get to speed that means that the semi can maintain 55 60 miles an hour on the freeway with just that one electric motor in a lot of ways they've taken everything that they've learned over the past decade build cars and put it into the semi to make it as efficient as possible the end result is that the tesla semi will be the most capable big rig out on the road it'll have instant torque no gear shifts and plenty of power for going uphill but most importantly regenerative braking for going back downhill this is one of the scariest parts for a truck driver and if you've ever seen a runaway truck ramp down a hill that's why because oftentimes they have to engine brake and there's a limit to how much they can do that the friction breaks on a semi will just heat up and fail almost instantly but the tesla semi doesn't have any of these problems not only does it not need those brakes or any engine braking it can recharge the battery pack and regain some of that energy lost by going uphill on its way back down and finally they should prove to be way more reliable and require way less maintenance than diesel trucks and you gotta remember for a truck driver availability and uptime is critical anytime that truck is not up and running is money that that driver is losing something about the semi industry you might not know is that between 10 and 25 five percent of all semis or owner operators that means that yes we have walmart and amazon who buy and deliver their own trucks and hire employees to drive them but a large percentage of these trucks were owned by little mom and pop shops that have to maintain all their own maintenance and keep the trucks up and running and this is one of the questions that i have is yes the fleet buyers are going to buy these things by the droves because it'll make financial sense we'll get to why here in a second but what about the small mom and pop owner operators how are they going to receive the semi well i think to answer that we got to break this down by cost tesla hasn't released official prices for the semi and you know it was around 180 000 for the beer configuration back in 2017 but a lot has happened since then runaway inflation and a pandemic and everything else so odds are the test semi is going to probably cost between 200 and 250 000 let's go with 250 again to be conservative the average diesel semi is actually closer to a hundred thousand dollars so that is a substantial increase in upfront cost but how much money could you save by going electric well factoring five dollars per gallon for diesel the average here in the us and 20 cents per kilowatt hour of electricity here's the cost breakdown 71 428 dollars per year in diesel at a hundred thousand miles per year and 33 898 dollars per year in electricity for a hundred thousand miles now semi starts off a hundred and fifty thousand dollars more expensive on day one but drive a hundred thousand miles a year and it breaks even in just four years and after that the savings are just pure profit and again this doesn't account for maintenance which i think is going to be drastically cheaper too but that's harder to quantify but just from the fueling savings pretty impressive so i think for big fleet buyers there's gonna be a no-brainer and tesla is going to sell every semi that they make but there is one question that has popped up on a lot of news articles and youtube videos that i've seen which is all that extra battery weight is going to eat into the cargo capacity and every pound that you don't have to carry cargo is again money that you're losing so how much of a weight reduction penalty will the tesla smi have well projecting that it'll be a 900 kiloh battery pack and projecting out from tesla's current pack volume density numbers it'll be around 11 000 pounds just in batteries but diesels aren't exactly light either the paccar mx13 just has 500 horsepower and 1850 pound foot of torque it's a modern diesel engine that weighs around 2 600 pounds factor another 800 pounds for the transmission and 600 pounds to carry enough gasoline for 500 miles of range and we're at about 4 000 pounds for the tesla semi factoring about a thousand pounds for the motors and other equipment it'll come in at around 12 000 pounds compared to the traditional diesels four thousand but as elon mentioned in that live stream electric semis are allowed to be 2 000 pounds heavier so diesel semi can be 80 000 pounds an electric semi can be 82 000 pounds so the loss in holland capacity goes from 8 000 pounds to about six thousand now that is not nothing that is a significant amount of money and depending on what you're carrying that is potentially lost revenue hauling around dead weight in batteries and that's something that every operator is gonna have to figure out but there's so much to about the tesla semi when i did my for fully charged on the canoe we were at a walmart location and behind me we had to move locations three different times because there were semis that were idling now when these guys pull in for a rest stop they leave the engines running sometimes because they have refrigerated cargo that has to run or i don't know why they just leave them running and the smell and the fumes from those idling emissions is just horrible all that would be gone even if you have a refrigerated cab the tesla battery pack or any ev battery pack could keep that running without any concerns right so the value to the operator is massive and you gotta remember all that idling is breaking down the engine without putting on miles so the more you idle the more time you spend in rough stop and go city traffic that's all wear and tear on a diesel engine that is not being counted for with the miles driven so the real emissions reductions are probably going to be even bigger now before i let you guys go there's two things that were not mentioned in the live stream that i was wondering about the first self-driving in 2017 they made a big deal about driving in a convoy and full self-driving and how much less fatigue the drivers would have but they've stripped any mention of self-driving entirely from the second presentation i think the reason why is they want truck drivers to be excited and they don't want to sell a future where they're going to replace all of them with self-driving semis right so i think that kind of makes sense but i do think that they have all the cameras that they need including new cameras on the front of the rig to make this thing a delight to drive and i do think that that in the coming years they will have tons of self-driving features the second feature that was kind of left out is the bulletproof windshield which again goes back to the idea of uptime two very common scenarios that keep a semi from being operable is tires right they're constantly going through tires having to re-tread them and all the tire related maintenance and everything else and the second is a windshield they're massive windshields they're very vertical and they're just prone to chips and things and if you have a chipped windshield you cannot drive a semi and if it takes a couple of days to get a replacement that is time and money that you're losing so that bulletproof windshield concept that tesla first showed off would have huge implications in this industry as well and i'm hoping the semi does come with both of them so let's kind of wrap this up right the tesla semi is not exactly what jack and robert and us here at fully charged think of when we think of little tiny motoring but you have to understand just how massive this industry is and you got to also think a lot of people have said that larger rigs this are not capable of being electrified that we need hydrogen but tesla showed you 500 miles of true range from the bay area to san diego which i've done that drive i know how how it goes they've made it with the semi which is pretty impressive at full weight at 82 000 pounds so i got to tell you i'm pretty excited and tesla's not the only ones in this space by the way mercedes and volvo and other companies are working on the same concepts even nicola we'll see what they do in a future perhaps but electrification is going to spread to every part of our lives and this is a massive one that we cannot ignore so maybe in the future we'll do a follow-up and test drive one of these if that becomes available but don't forget to and if you have questions or comments leave them down below and if you have been thank you so much for watching,2
